SKU,Title,Category,Dataset,SourceImageUrl,LocalImage,SHA256,PairingStatus
PK-DJ-0001,Essence Mascara Lash Princess,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,/images/products/pk-dj-0001.webp,3ea4bbc5bd364160cbcc4c068ac84cb04c3b8ddd2ed0cbf85da8c32db0c8c081,source-record-paired
PK-DJ-0002,Eyeshadow Palette with Mirror,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,/images/products/pk-dj-0002.webp,706d0b1b6b5bf2333cc21ea79377d4f293f011845de226af3b66e2246f2a2693,source-record-paired
PK-DJ-0003,Powder Canister,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,/images/products/pk-dj-0003.webp,f50302278677ec7f3f9d8398f6265260320ce95f672fad4ce3eaa2299e515405,source-record-paired
PK-DJ-0004,Red Lipstick,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,/images/products/pk-dj-0004.webp,b4a67c78d762f5ba42b5c3a91cf6070e1cc3ec7df0cd3f2973a36ca8e2d89d06,source-record-paired
PK-DJ-0005,Red Nail Polish,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,/images/products/pk-dj-0005.webp,d112bda658d4ad9ad7bf14f87e2bf888ac3dde2e6ddcd5050601dc8a33a6f8c3,source-record-paired
PK-DJ-0006,Calvin Klein CK One,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,/images/products/pk-dj-0006.webp,4c0b5df632c3777e27704117edd4f50bfc14e101313ac1cd883ac968bdc9392e,source-record-paired
PK-DJ-0007,Chanel Coco Noir Eau De,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,/images/products/pk-dj-0007.webp,d32f5fa8567862e7b6fe0f4afaacc29e42f5aa034b07bf5a3b151226c01e324d,source-record-paired
PK-DJ-0008,Dior J'adore,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,/images/products/pk-dj-0008.webp,f02278d68cecb8d44f2ae5685d608b8fb75ab491f1cc35517c56352931a85cb2,source-record-paired
PK-DJ-0009,Dolce Shine Eau de,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp,/images/products/pk-dj-0009.webp,3a69690cec1ba6de47d4cf6adfbc55e8ed438bed61c2a6c4bdf12fcc7f4724f5,source-record-paired
PK-DJ-0010,Gucci Bloom Eau de,beauty-personal-care,DummyJSON,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp,/images/products/pk-dj-0010.webp,d9b906db6f9c188d28223d0c425126b7af4a5f302fd40bd912bcba6a7fe03f6f,source-record-paired
